id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"257","JNPR","Juniper Networks","reports","Information Technology","Networking Equipment","Sunnyvale, California","0000-00-00","1043604"
"258","KSU","Kansas City Southern","reports","Industrials","Railroads","Kansas City, Missouri","2013-05-24","54480"
"259","K","Kellogg Co.","reports","Consumer Staples","Packaged Foods & Meats","Battle Creek, Michigan","0000-00-00","55067"
"260","KEY","KeyCorp","reports","Financials","Banks","Cleveland, Ohio","1994-03-01","91576"
"261","KMB","Kimberly-Clark","reports","Consumer Staples","Household Products","Irving, Texas","0000-00-00","55785"
"262","KIM","Kimco Realty","reports","Real Estate","REITs","New Hyde Park, New York","0000-00-00","879101"
"263","KMI","Kinder Morgan","reports","Energy","Oil & Gas Refining & Marketing & Transportation","Houston, Texas","2012-05-25","1506307"
"264","KLAC","KLA-Tencor Corp.","reports","Information Technology","Semiconductor Equipment","Milpitas, California","0000-00-00","319201"
"265","KSS","Kohl's Corp.","reports","Consumer Discretionary","General Merchandise Stores","Menomonee Falls, Wisconsin","0000-00-00","885639"
"266","KHC","Kraft Heinz Co","reports","Consumer Staples","Packaged Foods & Meats","Pittsburgh, Pennsylvania","2015-07-06","1545158"
"267","KR","Kroger Co.","reports","Consumer Staples","Food Retail","Cincinnati, Ohio","0000-00-00","56873"
"268","LB","L Brands Inc.","reports","Consumer Discretionary","Apparel Retail","Columbus, Ohio","1983-09-30","701985"
"269","LLL","L-3 Communications Holdings","reports","Industrials","Industrial Conglomerates","New York, New York","0000-00-00","1056239"
"270","LH","Laboratory Corp. of America Holding","reports","Health Care","Health Care Facilities","Burlington, North Carolina","0000-00-00","920148"
"271","LRCX","Lam Research","reports","Information Technology","Semiconductor Equipment","Fremont, California","2012-06-29","707549"
"272","LEG","Leggett & Platt","reports","Industrials","Industrial Conglomerates","Carthage, Missouri","0000-00-00","58492"
"273","LEN","Lennar Corp.","reports","Consumer Discretionary","Homebuilding","Miami, Florida","0000-00-00","920760"
"274","LUK","Leucadia National Corp.","reports","Financials","Multi-Sector Holdings","New York, New York","2007-08-27","96223"
"275","LVLT","Level 3 Communications","reports","Telecommunications Services","Alternative Carriers","Broomfield, Colorado","2014-11-05","794323"
"276","LLY","Lilly (Eli) & Co.","reports","Health Care","Pharmaceuticals","Indianapolis, Indiana","1970-12-31","59478"
